awb,lat,lng,city,pincode,cluster
GS1841984838,19.2006997,72.8413017,Mumbai,400067,0
GS1851895689,19.0378811,72.8950667,Mumbai,400074,1
GS1476035456,19.1370885,72.9314767,Mumbai,400078,2
GS1224506880,19.2315828,72.9864063,Mumbai,400607,3
GS1874714597,19.1225611,72.8844426,Mumbai,400059,4
GS1472256409,19.0132106,72.8274847,Mumbai,400025,5
GS1286760634,19.1690822,72.8357893,Mumbai,400104,17
GS1961338522,19.1108101,72.8656481,Mumbai,400053,9
GS1600421243,19.134743,72.869848,Mumbai,400093,17
GS2122083445,19.1216792,72.8314435,Mumbai,400102,6
GS2122083445,19.1216792,72.8314435,Mumbai,400102,6
GS1048591407,19.007177,72.8481401,Mumbai,400012,40
GS2030906057,19.11819,72.8821513,Mumbai,400059,9
GS2030906057,19.11819,72.8821513,Mumbai,400059,9
GS1242364481,19.059846,72.8881006,Mumbai,400071,10
GS1132306677,19.2328684,72.8514619,Mumbai,400092,12
GS1494477080,19.149489,72.9413772,Mumbai,400078,7
GS1684997992,19.1879885,72.9589458,Mumbai,400604,7
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS1410550400,19.1568876,72.9406174,Mumbai,400078,7
GS1481375286,19.20772743,72.87750244,Mumbai,400101,17
GS2043124781,19.0759837,72.8776559,Mumbai,400076,10
GS1130048533,19.1804446,72.9417055,Mumbai,400080,7
GS1846767758,19.18189621,72.94110107,Mumbai,400080,7
BZPPL00962241,19.1968838,72.9565873,Mumbai,400604,7
GS1558617567,18.9756903,72.8261072,Mumbai,400011,40
GS1183239580,19.0797866,72.8675536,Mumbai,400029,9
GS1049375667,19.0651151,72.8826603,Mumbai,400024,10
GS1277269228,19.0671665,72.8271021,Mumbai,400050,16
GS1277269228,19.0671665,72.8271021,Mumbai,400050,16
GS1983582801,19.16751862,72.85305023,Mumbai,400063,17
GS1913049654,19.166315,72.8573314,Mumbai,400063,17
GS1122661319,19.0228207,72.8419935,Mumbai,400028,16
GS1448693809,19.0876659,72.8324582,Mumbai,400054,16
GS1011662087,19.174735,72.8444953,Mumbai,400064,17
GS1915330623,19.1801098,72.8582644,Mumbai,400097,17
GS1444112058,18.9597509,72.837815,Mumbai,400009,40
GS2086702514,19.2041332,72.8344926,Mumbai,400067,0
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
GS2013690811,18.9576497,72.818754,Mumbai,400004,8
