warehouse_name,warehouse_city,warehouse_address,warehouse_pincode,lat_long
Designer BLR,Bangalore,"Survey 86, N V Gardens, Near VIBGYOR School, Jayanti Nagar, Main Road, Horamavu, Bangalore Rural",560043,"[13.0254158, 77.6677244]"
SNITCH APPARELS PVT LTD NEL,Bangalore Rural,"C/o Emiza Supply Chain Services Pvt Ltd #16/1, Deganahalli Village Road, Kasaba Hobli, Budihal Post, Nelamangala",562123,"[13.165214, 77.4092323]"
"16   1, Deganhalli Village Road, Kasaba Hobli,",Bangalore Rural,"16   1, Deganhalli Village Road, Kasaba Hobli, Budihal Post, Nelamangala",562123,"[13.165214, 77.4092323]"
Manash Bangalore Warehouse,Bangalore Rural,"Thonachinakuppe Village, Kasaba Hobli, Nelamangala Taluka, Bangalore Rural 562123",562123,"[13.165214, 77.4092323]"
EASYECOM-RDCBLRFC4,Bangalore Rural,"Delivery pvt.ltd , Address no.37,38,39,5,4 Hoblapura, Anugondanahalli, Hoskote Taluk Bangalore-562114",562114,"[12.9556159, 77.8155015]"
"48,1st Cross, Chowdappa layout,,Opp  Federal Bank, K Narayanapura main road,,Bengaluru,KA",BANGALORE,"48,1st Cross, Chowdappa layout,,Opp  Federal Bank, K Narayanapura main road,,Bengaluru,KA BANGALORE",560077,"[13.0697435, 77.6190915]"
BOAT Bangalore,Bangalore Rural,"Imagine Marketing Ltd, C/O GlaucusSupplyChain Solutions Pvt Ltd	Koralur, Khasra No. 56, Bangalore",560067,"[12.9881316, 77.78208819999999]"
OZiva BLR,Bangalore Rural,"15 Ground Floor, SY No. 131/3, Hoskote, Anjaneya Garden IOC Road Near Marie Gold Logistics, Makanahalli Village,
Bengaluru ",560067,"[13.0692593, 77.7982428]"
BLR Adret Retail,Bangalore Rural,"Adret Retail (D2C) 3/P, 4/P, 17/1, 17, Gangadharanapalya Village, Kasaba Hobli, Nelamangala, Bengaluru Rural, Karnataka - 562123",562123,"[13.165214, 77.4092323]"
Plum,Bangalore Rural,"EMIZA SUPPLY CHAIN SERVICES PVT LTD. Resurvey No. 110/7, Nelmangala, Sompura Hobli, Billanakote, 562111",562111,"[13.2186437, 77.2728205]"
Indiejewel Fashions Private Limited,Bangalore,"Sy No7 Hosahalli, 1st 2nd 3rd 4th 5th, Laxmi Complex, 4th Block Bangalore, further extension of banashankari 6th stage, Bengaluru, Karnataka, 560062",560062,"[12.9330888, 77.53949490000001]"
Jigni,Bangalore,"314 315 316 317 318 319, GR FLOOR, JIGANI INDUSTRIAL AREA BOMMSANDARA, 
JIGANI LINK ROAD ANEKAL TALUK, 
Bengaluru,560105
Ph: 9110834196",560105,"[12.7856782, 77.63003049999999]"
Bangalore ANS,Bangalore,"ANS DIGITAL PRIVATE LIMITED #86, N V Gardens, Near VIBGYOR School, Jayanti Nagar Main Road, Horamavn, Bangalore",560043,"[13.0254158, 77.6677244]"
Ketch Bangalore 1,Bangalore,"BRAND STUDIO LIFESTYLE PVT.LTD Block No. 1,Sy.No.18, Bandk Logistics Park Kasaba Hobli, Kumbarnahalli Bangalore South, KARNATAKA",562106,"[12.9333767, 77.5963271]"
PRX_Warehouse,Bangalore,"10/8/8, K. no. 10&11, 1st Floor, 25th A Cross, 24th Main, Sector 2, HSR Layout, Bengaluru, Karnataka",560102,"[12.9071221, 77.64909449999999]"
Intellihealth solutions pvt ltd ,Bangalore,"1st Floor, Khata No. 117/1, 118/1, Village Pantharapalya, Nayandahalli, Mysore road, kengeri taluk, Bangalore, 560039",560039,"[12.9413747, 77.5250279]"
CURESKIN,Bangalore,"26/10, 6th cross, Ramanna Compound Mangammanapalya, Bommanahalli, HSR Layout, Bengaluru, Karnataka 560068",560068,"[12.9210881, 77.6511089]"
"24 2, Chikkahullur Village, Kasba Hobli,",Bangalore Rural,"24 2, Chikkahullur Village, Kasba Hobli, Shidlagatta Road, Hosakote Taluk",562114,"[13.3877883, 77.8628964]"
"NO  33 34,1st FLOOR, BESIDE PF OFFICE , HOSUR ROAD I SINGASANDRA, BANGALORE 560068",bangalore,"NO  33 34,1st FLOOR, BESIDE PF OFFICE , HOSUR ROAD I SINGASANDRA, BANGALORE 560068",560068,"[12.875496, 77.649694]"
Mokobara Lifestyle Pvt Ltd,Bangalore Rural,"BIGFOOT RETAIL SOLUTIONS PVT LIMITED
24/3 chickhullur village kasaba hobli hoskote Taluk and
district, Bangalore Bengaluru 29-KA ",562114,"[13.1535064, 77.8524505]"
MW_Bangalore,Bangalore Rural,"Survey No. 83/3, Mathru Shree Warehouse,Kachanahalli,Budhihall Post,562123",562123,"[13.077455, 77.364026]"
"Survey No 1 1B, 1 2P, Gangadharanapalya Village Kasaba Hobli",Bangalore Rural,"Survey No 1 1B, 1 2P, Gangadharanapalya Village Kasaba Hobli Nelamangala Taluk, Bengaluru",562123,"[13.165214, 77.4092323]"
SSDC BNG,BANGALORE,SURVEY 6012 SRI NARAYANA BLDG UNIVERSAL COMPOUND BOMMANAHALIKODI CHIKKANAHALI ROAD. SOUTH1 KarnatakaBengaluru560068 Bengaluru,560068,"[12.9057133, 77.6931357]"
Tru Vitals Bangalore,Bangalore,"#86, N V Gardens, Near VIBGYOR School, Jayanti Nagar Main Road, Horamavn
Bangalore Karnataka IN 560043
",560043,"[13.0229725, 77.67010549999999]"
Minimalist,Bangalore Rural,"UPRISING SCIENCE PRIVATE LIMITED, Survey No. 1/1B 1/2P, Gangadharanaplya, Village Kasaba Hobli, Neelmangla Taluk, 562123",562123,"[13.165214, 77.4092323]"
"Survey No 85,Koralur Village,NH 207",Bangalore,"Survey No 85,Koralur Village,NH 207 Kadugodi Post,Hosakote Taluka",560067,"[13.3026074, 77.5501506]"
"Mathru Shree Warehouse,Survey No 83 2 ,Kachanahalli",Bangalore Rural,"Mathru Shree Warehouse,Survey No 83 2 ,Kachanahalli Beside Kirloskar Electric Company Budhihall Post,Nelamangala562123",562123,"[13.077455, 77.364026]"
Vaaree Warehouse,Bangalore,"#153/3 DTM road, Adur Village, Bidrahalli virgonagar post, Bengaluru, 560049",560049,"[13.057298, 77.69993649999999]"
"Honasa Consumer Limited Emiza Bangalore Aqua, C O Emiza Supply chain service Pvt Ltd,Sy no 83 1,Kachanahalli village, Buddihal post, Kasaba Hobli, Nelamagala ta",Bangalore Rural,"Honasa Consumer Limited Emiza Bangalore Aqua, C O Emiza Supply chain service Pvt Ltd,Sy no 83 1,Kachanahalli village, Buddihal post, Kasaba Hobli, Nelamagala ta",562123,"[13.165214, 77.4092323]"
HK BLR,Bangalore Rural,"Survey no 75 /74.near jombo tails warehouse, Addakamaranahalli, Dasanapura, Bangalore 562123",562123,"[13.0700786, 77.4291142]"
